end,sharpe,sortino,hit_rate,avg_return,trades,annualized_trades,start
2023-09-19 19:00:00+00:00,-0.04300243466835322,-0.015225295784979487,0.020202020202020204,-5.55134805530236e-05,4,,2023-09-15 16:00:00+00:00
2023-09-20 15:00:00+00:00,-0.05623494284918569,-0.028553552148343105,0.10101010101010101,-9.640688850195894e-05,7,,2023-09-16 12:00:00+00:00
2023-09-21 11:00:00+00:00,-0.10098254979715593,-0.05368554677164476,0.1111111111111111,-0.00019440625399482232,8,,2023-09-17 08:00:00+00:00
2023-09-22 07:00:00+00:00,-0.10098254979715593,-0.05368554677164476,0.1111111111111111,-0.00019440625399482232,8,,2023-09-18 04:00:00+00:00
2023-09-23 03:00:00+00:00,-0.10098254979715593,-0.05368554677164476,0.1111111111111111,-0.00019440625399482232,8,,2023-09-19 00:00:00+00:00
2023-09-23 23:00:00+00:00,-0.09688298792507637,-0.03848860837615199,0.09090909090909091,-0.00013889277344179872,4,,2023-09-19 20:00:00+00:00
2023-09-24 19:00:00+00:00,-0.10909933075561261,-0.019044956068621714,0.010101010101010102,-9.581060946782783e-05,2,,2023-09-20 16:00:00+00:00
2023-09-25 15:00:00+00:00,0.0,0.0,0.0,0.0,0,,2023-09-21 12:00:00+00:00
2023-09-26 11:00:00+00:00,-0.17131171831460595,-0.029538636564360923,0.0,-1.4880402958805427e-05,2,,2023-09-22 08:00:00+00:00
2023-09-27 07:00:00+00:00,-0.2525041559942294,-0.06992721447724873,0.0,-5.475384405934875e-05,7,,2023-09-23 04:00:00+00:00
2023-09-28 03:00:00+00:00,-0.03952618126766543,-0.018431780557672306,0.04040404040404041,-8.584337284791431e-05,9,,2023-09-24 00:00:00+00:00
2023-09-28 23:00:00+00:00,0.05658304094807069,0.03635109930648123,0.18181818181818182,0.00015869919415857875,9,,2023-09-24 20:00:00+00:00
2023-09-29 19:00:00+00:00,0.03806257894246904,0.029281244550216808,0.2828282828282828,0.00011640626408361512,11,,2023-09-25 16:00:00+00:00
2023-09-30 15:00:00+00:00,0.029181424673430618,0.023150256640566125,0.30303030303030304,8.953719285225586e-05,13,,2023-09-26 12:00:00+00:00
2023-10-01 11:00:00+00:00,0.033419056643837756,0.02603863977164654,0.30303030303030304,0.0001021838220545275,11,,2023-09-27 08:00:00+00:00
2023-10-02 07:00:00+00:00,0.13582531314528046,0.21240951091669022,0.36363636363636365,0.0005277820400347378,9,,2023-09-28 04:00:00+00:00
2023-10-03 03:00:00+00:00,0.0005702957549844314,0.0006121718969283197,0.32323232323232326,2.4449302538900898e-06,11,,2023-09-29 00:00:00+00:00
2023-10-03 23:00:00+00:00,0.01630641636696305,0.015700181721826828,0.24242424242424243,6.717009311138137e-05,8,,2023-09-29 20:00:00+00:00
2023-10-04 19:00:00+00:00,0.01801727654800364,0.016757799686980514,0.2222222222222222,7.410425657894182e-05,9,,2023-09-30 16:00:00+00:00
2023-10-05 15:00:00+00:00,-0.014655684929790769,-0.011932231999300442,0.2222222222222222,-6.40059881119654e-05,9,,2023-10-01 12:00:00+00:00
2023-10-06 11:00:00+00:00,-0.16784563918652765,-0.09212623641724153,0.15151515151515152,-0.0004900562578844699,15,,2023-10-02 08:00:00+00:00
2023-10-07 07:00:00+00:00,-0.12547013036515017,-0.07052319609960549,0.1414141414141414,-0.00033727659667149364,15,,2023-10-03 04:00:00+00:00
2023-10-08 03:00:00+00:00,-0.11668149539032006,-0.07600240472776029,0.18181818181818182,-0.0003183728597284752,18,,2023-10-04 00:00:00+00:00
2023-10-08 23:00:00+00:00,-0.11738985421984338,-0.07644144479567268,0.16161616161616163,-0.0003201273826698195,15,,2023-10-04 20:00:00+00:00
2023-10-09 19:00:00+00:00,-0.10659111593047274,-0.07776866496768996,0.1717171717171717,-0.0002494548549837327,20,,2023-10-05 16:00:00+00:00
2023-10-10 15:00:00+00:00,-0.08430497078406436,-0.08362701089168303,0.1414141414141414,-0.00011821709421156009,16,,2023-10-06 12:00:00+00:00
2023-10-11 11:00:00+00:00,-0.33994312318620806,-0.16879833328758215,0.050505050505050504,-0.00024111421969527947,16,,2023-10-07 08:00:00+00:00
2023-10-12 07:00:00+00:00,-0.2861942036107522,-0.11238543160466247,0.020202020202020204,-0.00018075428817337862,10,,2023-10-08 04:00:00+00:00
2023-10-13 03:00:00+00:00,-0.2529172080455855,-0.08713207489995839,0.020202020202020204,-0.00013636705497350695,9,,2023-10-09 00:00:00+00:00
2023-10-13 23:00:00+00:00,-0.1469206761524785,-0.06137802538119438,0.06060606060606061,-0.00015386822638908005,10,,2023-10-09 20:00:00+00:00
2023-10-14 19:00:00+00:00,-0.12196000428679847,-0.04752871592056814,0.0707070707070707,-0.00012448132303996296,10,,2023-10-10 16:00:00+00:00
2023-10-15 15:00:00+00:00,-0.12196000428679847,-0.04752871592056814,0.0707070707070707,-0.00012448132303996296,10,,2023-10-11 12:00:00+00:00
2023-10-16 11:00:00+00:00,-0.12196000428679847,-0.04752871592056814,0.0707070707070707,-0.00012448132303996296,10,,2023-10-12 08:00:00+00:00
2023-10-17 07:00:00+00:00,-0.02042294160446386,-0.012079867643845525,0.0707070707070707,-3.044302054302078e-05,12,,2023-10-13 04:00:00+00:00
2023-10-18 03:00:00+00:00,0.04366935187684589,0.02553182064898786,0.0707070707070707,7.838786172503834e-05,8,,2023-10-14 00:00:00+00:00
2023-10-18 23:00:00+00:00,0.05458550324090223,0.025594376228743693,0.050505050505050504,9.757812661104427e-05,4,,2023-10-14 20:00:00+00:00
2023-10-19 19:00:00+00:00,0.05458550324090223,0.025594376228743693,0.050505050505050504,9.757812661104427e-05,4,,2023-10-15 16:00:00+00:00
2023-10-20 15:00:00+00:00,0.05458550324090222,0.025594376228743693,0.050505050505050504,9.757812661104427e-05,4,,2023-10-16 12:00:00+00:00
2023-10-21 11:00:00+00:00,-0.0038195096762096534,-0.0013245973855466422,0.04040404040404041,-5.447923511498649e-06,2,,2023-10-17 08:00:00+00:00
2023-10-22 07:00:00+00:00,0.11443926011662103,0.20859933770045133,0.020202020202020204,0.00010429966885022566,2,,2023-10-18 04:00:00+00:00
2023-10-23 03:00:00+00:00,0.11443926011662102,0.20859933770045133,0.020202020202020204,0.00010429966885022566,2,,2023-10-19 00:00:00+00:00
2023-10-23 23:00:00+00:00,0.114439260116621,0.20859933770045133,0.020202020202020204,0.00010429966885022566,2,,2023-10-19 20:00:00+00:00
2023-10-24 19:00:00+00:00,0.13321000309212336,0.25310923419789166,0.030303030303030304,0.00012655461709894583,4,,2023-10-20 16:00:00+00:00
2023-10-25 15:00:00+00:00,0.066240587695903,0.023895496411760142,0.050505050505050504,8.874160100045192e-05,10,,2023-10-21 12:00:00+00:00
2023-10-26 11:00:00+00:00,-0.1371819863767096,-0.04998411362329873,0.04040404040404041,-0.0001701821773481846,12,,2023-10-22 08:00:00+00:00
